"Points:0","Points:1","Points:2","T","T.liquid","T.vapor","U:0","U:1","U:2","alpha.liquid","alpha.liquid_0","alpha.vapor","alphas","dgdt.liquid","dgdt.vapor","p","p_rgh","rho"
0.5,0.0766636,0,299.645,299.645,299.645,-0.0188824,0.000110945,0,1,1,7.6339e-16,7.6339e-16,0,4.82171e-05,101325,101325,1
0.5,0.0783302,0.005,299.649,299.649,299.649,-0.0207865,8.31771e-05,0,1,1,7.79574e-15,7.79574e-15,0,5.4125e-05,101325,101325,1
0.5,0.0783302,0,299.649,299.649,299.649,-0.0207865,8.31771e-05,0,1,1,7.79574e-15,7.79574e-15,0,5.4125e-05,101325,101325,1
0.5,0.0799968,0.005,299.652,299.652,299.652,-0.0227507,5.27912e-05,0,1,1,7.05442e-15,7.05442e-15,0,6.01249e-05,101325,101325,1
0.5,0.0799968,0,299.652,299.652,299.652,-0.0227507,5.27912e-05,0,1,1,7.05442e-15,7.05442e-15,0,6.01249e-05,101325,101325,1
0.5,0.0816634,0.005,299.654,299.654,299.654,-0.0247089,1.98754e-05,0,0.968941,0.968941,0.0310586,0.0310586,0,6.59972e-05,101325,101325,0.991678
0.5,0.0816634,0,299.654,299.654,299.654,-0.0247089,1.98754e-05,0,0.968941,0.968941,0.0310586,0.0310586,0,6.59972e-05,101325,101325,0.991678
0.5,0.08333,0.005,299.654,299.654,299.654,-0.0256369,-1.43307e-05,0,0.484295,0.484294,0.515705,0.515705,0,6.87698e-05,101325,101325,0.861814
0.5,0.08333,0,299.654,299.654,299.654,-0.0256369,-1.43307e-05,0,0.484295,0.484294,0.515705,0.515705,0,6.87698e-05,101325,101325,0.861814
0.5,0.0849966,0.005,299.652,299.652,299.652,-0.0246095,-4.75336e-05,0,0.0153532,0.0153535,0.984647,0.984647,0,6.57755e-05,101325,101325,0.736161
0.5,0.0849966,0,299.652,299.652,299.652,-0.0246095,-4.75336e-05,0,0.0153532,0.0153535,0.984647,0.984647,0,6.57755e-05,101325,101325,0.736161
0.5,0.0866632,0.005,299.65,299.65,299.65,-0.0226193,-7.82381e-05,0,9.98756e-10,9.99163e-10,1,1,0,5.98921e-05,101325,101325,0.732054
