"Points:0","Points:1","Points:2","T","T.liquid","T.vapor","U:0","U:1","U:2","alpha.liquid","alpha.liquid_0","alpha.vapor","alphas","dgdt.liquid","dgdt.vapor","p","p_rgh","rho"
0.5,0.103329,0,299.587,299.587,299.587,-0.00481634,-0.000215778,0,9.57972e-32,9.5794e-32,1,1,0,9.71559e-06,101326,101327,0.732215
0.5,0.104996,0.005,299.573,299.573,299.573,-0.00343615,-0.000221413,0,3.55661e-35,3.55639e-35,1,1,0,5.90545e-06,101326,101327,0.732248
0.5,0.104996,0,299.573,299.573,299.573,-0.00343615,-0.000221413,0,3.55661e-35,3.55639e-35,1,1,0,5.90545e-06,101326,101327,0.732248
0.5,0.106662,0.005,299.56,299.56,299.56,-0.00213791,-0.00022558,0,5.26217e-39,5.26167e-39,1,1,0,2.3038e-06,101326,101327,0.73228
0.5,0.106662,0,299.56,299.56,299.56,-0.00213791,-0.00022558,0,5.26217e-39,5.26167e-39,1,1,0,2.3038e-06,101326,101327,0.73228
0.5,0.108329,0.005,299.546,299.546,299.546,-0.000920455,-0.000228348,0,1.20512e-43,1.20512e-43,1,1,0,-1.08389e-06,101326,101327,0.732314
0.5,0.108329,0,299.546,299.546,299.546,-0.000920455,-0.000228348,0,1.20512e-43,1.20512e-43,1,1,0,-1.08389e-06,101326,101327,0.732314
0.5,0.109996,0.005,299.533,299.533,299.533,0.000217335,-0.000229784,0,3.25101e-43,3.237e-43,1,1,0,-4.25426e-06,101326,101327,0.732347
0.5,0.109996,0,299.533,299.533,299.533,0.000217335,-0.000229784,0,3.25101e-43,3.237e-43,1,1,0,-4.25426e-06,101326,101327,0.732347
0.5,0.111662,0.005,299.519,299.519,299.519,0.0012766,-0.000229957,0,1.09077e-41,1.08559e-41,1,1,0,-7.20129e-06,101326,101327,0.732379
0.5,0.111662,0,299.519,299.519,299.519,0.0012766,-0.000229957,0,1.09077e-41,1.08559e-41,1,1,0,-7.20129e-06,101326,101327,0.732379
0.5,0.113329,0.005,299.506,299.506,299.506,0.00225846,-0.000228936,0,3.19506e-40,3.17985e-40,1,1,0,-9.92352e-06,101326,101327,0.732412
0.5,0.113329,0,299.506,299.506,299.506,0.00225846,-0.000228936,0,3.19506e-40,3.17985e-40,1,1,0,-9.92352e-06,101326,101327,0.732412
0.5,0.114995,0.005,299.493,299.493,299.493,0.00316407,-0.000226792,0,8.13838e-39,8.10011e-39,1,1,0,-1.24119e-05,101326,101327,0.732443
